Image Index,Detector Type,Descriptor Type,TTC Camera,TTC Lidar,TTC diff,Mean diff
16,,,9.68849,9.51552,0.172969999999999,
17,,,9.07217,9.61241,0.540240000000001,
18,,,9.07751,8.3988,0.678710000000001,1.081
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,AKAZE,FREAK,12.1239,12.5156,0.391699999999998,
2,,,14.0611,12.6142,1.4469,
3,,,13.9412,14.091,0.149799999999999,
4,,,14.4056,16.6894,2.2838,
5,,,16.4352,15.7465,0.688700000000003,
6,,,14.5198,12.7835,1.7363,
7,,,15.3824,11.9844,3.398,
8,,,14.0701,13.1241,0.946,
9,,,13.6736,13.0241,0.6495,
10,,,11.8964,11.1746,0.7218,
11,,,12.2112,12.8086,0.5974,
12,,,10.9924,8.95978,2.03262,
13,,,10.88,9.96439,0.915610000000001,
14,,,10,9.59863,0.40137,
15,,,9.86979,8.52157,1.34822,
16,,,10.3531,9.51552,0.837579999999999,
17,,,9.14853,9.61241,0.463880000000001,
18,,,8.68856,8.3988,0.289760000000001,1.072
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,AKAZE,AKAZE,12.3445,12.5156,0.171099999999999,
2,,,14.0983,12.6142,1.4841,
3,,,12.8828,14.091,1.2082,
4,,,14.4781,16.6894,2.2113,
5,,,16.7468,15.7465,1.0003,
6,,,13.8675,12.7835,1.084,
7,,,15.3467,11.9844,3.3623,
8,,,14.1379,13.1241,1.0138,
9,,,13.8398,13.0241,0.8157,
10,,,11.5483,11.1746,0.373699999999999,
11,,,12.1341,12.8086,0.6745,
12,,,11.0555,8.95978,2.09572,
13,,,11.2852,9.96439,1.32081,
14,,,10.5845,9.59863,0.98587,
15,,,10.1989,8.52157,1.67733,
16,,,9.81358,9.51552,0.29806,
17,,,9.06448,9.61241,0.547930000000001,
18,,,8.974,8.3988,0.575200000000001,1.161
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,AKAZE,SIFT,12.4095,12.5156,0.1061,
2,,,14.646,12.6142,2.0318,
3,,,13.2294,14.091,0.861599999999999,
4,,,14.1141,16.6894,2.5753,
5,,,16.598,15.7465,0.8515,
6,,,13.9616,12.7835,1.1781,
7,,,15.7668,11.9844,3.7824,
8,,,13.7666,13.1241,0.6425,
9,,,14.079,13.0241,1.0549,
10,,,11.7502,11.1746,0.5756,
